"namespace","condition","plain_english","agent_interpretation","developer_action","example"
"issue_category","policy","This concerns turning evidence into a repeatable gate.","Teams need explicit pass/fail rules before enforcing CLIARE in CI.","Add a cliare.policy.json and use cliare guard.","Platform report recommends guard policy configuration."
"issue_category","publishing","This concerns public claims about readiness.","Public score claims should not exceed measured evidence.","Publish artifacts with profile, model, and caveats.","OSS report warns against certified ranking language."
"issue_category","calibration","This concerns benchmark reuse and score tuning.","Calibration needs truth labels and provenance, not only local artifacts.","Label command existence, outputs, preconditions, and side effects.","Research report asks for labels before model tuning."
"command_runtime_state","runtime_confirmed","CLIARE observed runtime evidence that matches this command path.","The command exists and can be considered for routing subject to gaps.","Keep command-specific help and diagnostics stable.","cliare guard --help matched the guard command."
"command_runtime_state","precondition_blocked","CLIARE recognized the command but a runtime precondition blocked safe confirmation.","The command is not absent; it needs setup before use.","Document the precondition and provide a safe setup or validation path.","summary --format json failed because .cliare was missing."
"command_runtime_state","unconfirmed","CLIARE inferred the command but did not confirm it at runtime.","Do not route automatically to this command yet.","Expose command-specific help or increase traversal coverage.","eval shape-quality was discovered from parent help but not probed."
"agent_suitability","ready","The command is runtime-confirmed and has no blocking gaps in this run.","Candidate for automatic routing, subject to local policy.","Preserve current help, diagnostics, and output contracts.","metadata is ready after help and output contract evidence are known."
"agent_suitability","conditional","The command can be used when known conditions are satisfied or reviewed.","Route only when the harness can satisfy the listed condition.","Make the condition explicit in docs, help, or metadata.","A command requires auth_required but help is otherwise usable."
"agent_suitability","needs_fixture","The command needs safe input, sample data, or a fixture before validation.","Do not let agents guess operands in unattended mode.","Add fixture profiles, sample operands, or dry-run validation commands.","context compare needs one or more context_dir values."
"agent_suitability","blocked","A required precondition blocks automatic routing in this run.","Treat as unavailable until provisioned or manually approved.","Provide the missing environment, service, or dependency.","A command requires a Docker daemon that is unavailable."
"agent_suitability","candidate","The command is inferred but not runtime-confirmed.","Keep out of automatic routing catalogs.","Confirm with direct help or runtime probes.","A subcommand appears only as a row in parent help."
"precondition_kind","auth_required","The command needs login, credentials, tokens, or identity.","The harness must authenticate before using it.","Expose auth setup, health checks, and pre-auth help.","gh api reports that GH_TOKEN is required."
"precondition_kind","local_context_required","The command needs a project, repository, workspace, artifact directory, or working directory.","The harness must run inside or point at the right local context.","Document cwd requirements and provide --out or --project flags where possible.","cliare describe --format json needs an artifact directory."
"precondition_kind","fixture_required","The command needs safe operands, sample data, or a noninteractive input fixture.","The harness should not invent values blindly.","Provide examples, fixtures, dry-run modes, or metadata shape.","owner is required when not running interactively."
"precondition_kind","network_unavailable","The command needs network access or remote service availability.","The harness must either allow network or skip this path.","Document network use and provide offline-safe help.","A probe fails with DNS or API rate-limit diagnostics."
"precondition_kind","runtime_dependency_unavailable","The command needs an external daemon, binary, socket, container, or service.","The harness must provision the dependency before using the command.","Document dependency checks and setup commands.","Docker daemon is not running."
"shape_gap","existence_unconfirmed","A command candidate has not accumulated enough runtime evidence.","Agents should not assume the command is real.","Expose direct command help or rerun with more probe budget.","context help remains candidate-only."
"shape_gap","help_unavailable","A safe help probe did not produce usable help-like output.","Agents lose the main discovery surface for this command.","Make command --help work without side effects and with clear output.","tool deploy --help exits nonzero with no usage text."
"shape_gap","alternate_help_form_unavailable","The optional help <path> style did not resolve this command.","Direct command --help may still be sufficient.","Add only if this compatibility is cheap and useful.","tool help deploy fails but tool deploy --help works."
"shape_gap","precondition_blocked","A safe probe or advertised output mode was blocked by a runtime precondition.","The command may be valid but cannot be used until setup exists.","Document the precondition and keep help available before setup.","report --format json needs an existing artifact directory."
"shape_gap","flags_unknown","Some discovered flags still lack value grammar.","Agents may pass wrong values or omit required values.","Add value names and required or optional markers to help.","--format is listed without showing <FORMAT>."
"shape_gap","argument_arity_unknown","Usage syntax did not confirm positional arguments.","Agents may not know which operands are required, optional, or variadic.","Add explicit USAGE lines with operands.","Usage omits <target> for a command that requires it."
"shape_gap","invalid_child_diagnostics_unknown","CLIARE did not observe clear diagnostics for unknown subcommands.","Agents may not get repair signals after a wrong subcommand.","Reject unknown subcommands with nonzero, specific errors.","tool config nope should say unknown subcommand nope."
"shape_gap","invalid_flag_diagnostics_unknown","CLIARE did not observe clear diagnostics for unknown flags.","Agents may not recover from mistyped or unsupported flags.","Reject unknown flags with nonzero, specific errors.","tool list --wat should fail and suggest --help."
"shape_gap","output_mode_unprobed","A machine-readable output mode was advertised but not runtime-probed.","The output contract is still a claim, not validated evidence.","Provide safe operands or fixtures so CLIARE can execute it.","--format json is documented but not executed in this run."
"shape_gap","output_mode_unvalidated","An output mode was probed but could not be validated in the current scope.","Agents should not rely on it as parseable task output yet.","Prefer command-local output flags or safe command examples.","A global --json flag only prints top-level help behavior."
"shape_gap","output_mode_parse_failed","A probed machine-readable output mode did not parse as advertised.","Agents cannot safely consume that output.","Fix the output or stop advertising the mode for that command.","--json emitted plain text instead of JSON."
"output_contract_status","parse_success","The output mode was probed and parsed successfully.","Agents can consume this output format for this command.","Keep the schema stable and document it.","metadata --format json returned valid JSON."
"output_contract_status","precondition_blocked","The output mode probe was blocked by auth, context, fixture, network, or dependency setup.","The output may be valid after setup, but it is not currently usable.","Document or provision the missing precondition.","summary --format json failed because no artifact directory existed."
"output_contract_status","unprobed","The output mode was discovered but not executed.","Treat as unvalidated until a safe probe exists.","Add safe fixtures or increase traversal budget.","playbook advertises --format json but requires role."
"output_contract_status","help_text","The output mode probe returned help-like text instead of command data.","Do not treat this as parseable task output.","Make output flags work for command execution or classify help separately.","tool list --json --help returned help text."
"output_contract_status","unvalidated","The probe completed but cannot prove command-local parseable output.","Use cautiously; it may only validate a global or diagnostic path.","Add a command-local validation example.","A root global --json flag does not validate subcommand output."
"output_contract_status","parse_failed","The output mode ran but did not parse as the advertised format.","Agents should not consume it automatically.","Return valid data or remove the advertised contract.","--format yaml returned malformed YAML."
"output_contract_scope","global_flag","The output mode was inferred from a global flag.","It may not apply to every command result.","Validate on each command that matters.","Root help lists --json globally."
"output_contract_scope","command_flag","The output mode was advertised on a command-specific help surface.","It is stronger evidence than a global-only flag.","Ensure it works for that command with safe operands.","describe help lists --format json."
"output_contract_scope","example","The output mode was inferred from an example invocation.","Useful hint, but still needs runtime validation.","Keep examples executable and current.","Example shows tool list --json."
"output_contract_scope","runtime_probe","The output mode came from an executed probe.","This is runtime evidence for the contract.","Preserve parseability and schema stability.","CLIARE executed metadata --format json."
"agent_navigation_capability","canonical_help_coverage","How many commands have direct command --help evidence.","Agents can navigate better when every real command has canonical help.","Make --help work on command groups and leaves.","cliare guard --help confirms guard."
"agent_navigation_capability","usage_coverage","How many commands expose usable usage syntax.","Agents can build calls without guessing operands.","Add stable USAGE lines with required, optional, and variadic operands.","Usage: tool deploy <target> [--json]."
"agent_navigation_capability","subcommand_table_clarity","Whether command groups expose clear child-command tables.","Agents can traverse command trees without blind probing.","Use aligned subcommand sections with summaries.","COMMANDS: list, add, remove."
"agent_navigation_capability","positional_operand_coverage","Whether required positionals are visible in usage or diagnostics.","Agents know what operands must be supplied.","Name positionals explicitly and avoid hidden requirements.","guard shows --baseline <FILE> <TARGET>."
"agent_navigation_capability","output_contract_parse_coverage","How many machine-readable output contracts parsed successfully.","Agents can read state without brittle text parsing.","Make advertised JSON or YAML modes parse on safe probes.","metadata --format json parses."
"agent_navigation_capability","invalid_input_recovery","Whether invalid child and flag probes fail clearly and nonzero.","Agents can repair mistakes instead of retrying blindly.","Reject invalid inputs with specific diagnostics.","unknown flag exits 2 and prints usage."
"agent_navigation_capability","discovery_side_effect_safety","Whether safe discovery probes avoid filesystem side effects.","Agents can explore without changing local state.","Keep help, version, and diagnostics read-only.","--help creates no files in the sandbox."
"agent_navigation_capability","precondition_clarity","Whether blocked probes explain what setup is missing.","Agents can ask for or provision the right state.","Return actionable precondition diagnostics.","Not in a workspace; run tool init and cd workspace."
"agent_navigation_capability","example_validity","Whether examples are executable and validated.","Agents can copy examples as reliable templates.","Keep examples current and add safe examples.","EXAMPLES include tool list --json that runs."
"agent_navigation_metric_status","measured","CLIARE had enough evidence to compute the metric.","Use the score as bounded measured evidence.","Improve the numerator by fixing related gaps.","usage_coverage measured 16 of 34."
"agent_navigation_metric_status","no_evidence","CLIARE saw the surface but no supporting evidence for this metric.","Treat the score as evidence of absence in this run.","Expose evidence, such as examples or output contracts.","No parseable output contracts were validated."
"agent_navigation_metric_status","not_measured","The metric is defined but not active for this run.","Do not use it as pass or fail evidence.","Use future profiles or labels when available.","example_validity is currently not measured."
"traversal_stop_reason","frontier_exhausted","CLIARE had no remaining useful probes to schedule.","The run covered the observed frontier under its profile.","No action unless the profile was too shallow.","Traversal complete with frontier_exhausted."
"traversal_stop_reason","converged","The planner stopped because remaining candidates were below expected value.","Coverage is bounded by convergence policy, not necessarily complete truth.","Increase min expected value or use deeper profile if needed.","Low-value candidates were skipped by convergence."
"traversal_stop_reason","depth_budget_exhausted","The run hit the configured command-depth limit.","Deeper commands may remain unmeasured.","Rerun with a deeper profile or higher max depth.","Depth 2 of 2 with deeper candidates remaining."
"traversal_stop_reason","probe_budget_exhausted","The run hit the configured probe count limit.","Some commands or contracts may remain candidate-only.","Rerun with more probes or standard/deep profile.","64 of 64 probes completed with frontier remaining."
"score_status","experimental_partial","The score is useful but not a certified complete benchmark.","Use it as local evidence with caveats.","Publish model, profile, and artifact context with the score.","Score 74/100 with model cliare-score-v0."
"dimension_status","measured","This dimension contributed measured score evidence.","The subscore can guide remediation.","Improve the underlying evidence for that dimension.","output dimension measured from parseable output probes."
"dimension_status","not_measured","This dimension did not have enough evidence or is disabled in this context.","Do not treat the missing score as a pass.","Collect the required evidence or use the right execution profile.","host-mode safety may be not measured."
"runtime_context_state","present","The runtime context declares this setup is available.","Precondition failures of this type may indicate a CLI or declaration mismatch.","Verify the context or fix misleading diagnostics.","authenticated context declares auth present."
"runtime_context_state","absent","The runtime context declares this setup is intentionally absent.","Failures requiring this setup are expected in this context.","Keep help usable and compare against a provisioned context.","clean context declares auth absent."
"runtime_context_state","unknown","The runtime context did not declare whether this setup exists.","Interpret preconditions conservatively.","Declare context state for clearer reports.","single profile leaves network state unknown."
"runtime_context_state","declared","The setup was declared explicitly by the caller or context config.","Use it as a run condition, not as observed proof by itself.","Keep declarations accurate and reproducible.","--auth-state declared."
